train/n_updates,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,time/fps,rollout/success rate,train/actor_loss,rollout/ep_len_mean,train/learning_rate,time/total timesteps
5409674,23869,1362,-11591.2501077,29.621318197250368,233,0.0,208.0140869140625,6359.41,0.001,5570087
,23875,1363,-11535.778206140001,,233,0.0,,6310.77,,5570407
5415674,23964,1364,-11688.964129370002,30.148256399154665,232,0.0,208.08905105590821,6266.86,0.001,5576016
5417674,23992,1365,-11609.20815358,30.22363464164734,232,0.0,208.40801831054688,6183.64,0.001,5577694
5427674,24140,1366,-11689.147359810002,29.097689081192016,231,0.0,206.38966180419922,6183.64,0.001,5587694
5437674,24290,1367,-12009.08276698,29.61846717071533,230,0.0,207.95368173217773,6183.64,0.001,5597694
5438674,24310,1368,-11773.198693620001,31.01504496192932,230,0.0,207.78944219970703,6095.46,0.001,5598876
5448674,24460,1369,-11844.85464129,30.363560007095337,229,0.0,207.9589443359375,6095.46,0.001,5608876
5458674,24607,1370,-11787.361109479998,30.637662292480467,228,0.0,207.06044290161134,6095.46,0.001,5618876
5468674,24754,1371,-11650.046635079998,28.479504070281983,227,0.0,204.5963733215332,6095.46,0.001,5628876
,24760,1372,-11584.32214076,,227,0.0,,5998.31,,5629161
5471674,24812,1373,-11731.89212139,30.33226593017578,227,0.0,203.65044018554687,6031.54,0.001,5632581
5481674,24958,1374,-11815.56656836,29.41543772315979,226,0.0,203.54776318359376,6118.43,0.001,5642581
5491674,25104,1375,-11803.88190014,28.79631432533264,225,0.0,200.33059814453125,6118.43,0.001,5652581
5501674,25251,1376,-11221.29839843,26.857730556488036,224,0.0,199.7845686645508,6118.43,0.001,5662581
5511674,25397,1377,-11159.961385420002,28.1521563873291,223,0.0,197.77822317504882,6118.43,0.001,5672581
5518674,25496,1378,-11132.724788549998,26.52061068916321,222,0.0,197.80502319335938,6115.5,0.001,5679154
5519674,25513,1379,-10769.722761840001,27.720032051086427,222,0.0,197.36780541992186,6024.11,0.001,5680015
5529674,25665,1380,-11017.084766529999,26.437606519699095,221,0.0,196.9558671875,6024.11,0.001,5690015
,25674,1381,-10901.314070389999,,221,0.0,,5930.31,,5690635
5539674,25819,1382,-10947.76238236,27.55768862915039,220,0.0,196.71478665161132,6009.69,0.001,5700635
5540674,25833,1383,-10927.30196304,25.245182611465456,220,0.0,197.63608337402343,5966.6,0.001,5701356
5542674,25860,1384,-10868.840245039999,26.985163946151733,220,0.0,197.26291650390624,5881.27,0.001,5702823
