train/critic_loss,train/learning_rate,time/fps,time/total timesteps,time/episodes,rollout/success rate,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean
4207.238169921875,0.001,233,5590000,559,0.0,12433674,-6202.141288085937,763535.4243214901,23939,10000.0
4564.7646708984375,0.001,232,5600000,560,0.0,12443674,-6261.920533203125,765898.39853124,24086,10000.0
4365.588473144531,0.001,231,5610000,561,0.0,12453674,-6209.175403320312,762879.9086518501,24238,10000.0
4263.54796875,0.001,230,5620000,562,0.0,12463674,-6144.325029296875,757628.33289947,24412,10000.0
3963.3532905273437,0.001,229,5630000,563,0.0,12473674,-6171.9311484375,757448.1110617,24559,10000.0
4038.103201171875,0.001,228,5640000,564,0.0,12483674,-6176.073499023438,757075.7675795199,24711,10000.0
3745.4218283691407,0.001,227,5650000,565,0.0,12493674,-6159.880642578125,756280.7613133799,24860,10000.0
3699.2612817382815,0.001,226,5660000,566,0.0,12503674,-6119.3683251953125,746117.8194783598,25014,10000.0
3748.064272705078,0.001,225,5670000,567,0.0,12513674,-6105.450841796875,746370.9140303798,25161,10000.0
4087.3283933105467,0.001,224,5680000,568,0.0,12523674,-6094.695749023437,748319.3080992101,25312,10000.0
4238.278345214844,0.001,223,5690000,569,0.0,12533674,-6143.304157226563,757961.49554654,25459,10000.0
4403.350050048828,0.001,222,5700000,570,0.0,12543674,-6162.817618164063,762942.8604282502,25612,10000.0
4549.396467529297,0.001,221,5710000,571,0.0,12553674,-6135.4561044921875,762839.0013915801,25760,10000.0
4987.868512207031,0.001,220,5720000,572,0.0,12563674,-6100.182181640625,758285.5251967901,25913,10000.0
4431.8523981933595,0.001,219,5730000,573,0.0,12573674,-6075.532181640625,758434.3796282101,26062,10000.0
4274.970589355469,0.001,218,5740000,574,0.0,12583674,-5978.0883564453125,748276.6941468501,26234,10000.0
4114.097150146485,0.001,217,5750000,575,0.0,12593674,-5983.464509765625,749422.1141412201,26381,10000.0
4220.298268554688,0.001,217,5760000,576,0.0,12603674,-6086.350333984375,758382.66687958,26529,10000.0
4386.125036132812,0.001,216,5770000,577,0.0,12613674,-6098.033278320312,756488.17377236,26682,10000.0
4586.076468261719,0.001,215,5780000,578,0.0,12623674,-6060.433383789063,753496.1557512501,26841,10000.0
4530.684752441406,0.001,214,5790000,579,0.0,12633674,-6143.86267578125,760995.03994661,26991,10000.0
5031.211171875,0.001,213,5800000,580,0.0,12643674,-6159.157220703125,766013.0858205002,27148,10000.0
5161.835264404297,0.001,212,5810000,581,0.0,12653674,-6140.523991210937,763845.2943397402,27296,10000.0
5787.733230957031,0.001,212,5820000,582,0.0,12663674,-6070.579588867187,763149.3940578902,27448,10000.0
5707.334192382813,0.001,211,5830000,583,0.0,12673674,-6038.320553710938,763553.5528592201,27597,10000.0
6164.436205810547,0.001,210,5840000,584,0.0,12683674,-5967.526173828125,758657.22885279,27758,10000.0
6626.237719726562,0.001,209,5850000,585,0.0,12693674,-5900.7702470703125,754481.8932888301,27920,10000.0
6925.100194824218,0.001,208,5860000,586,0.0,12703674,-5838.639596679687,751463.7133824101,28092,10000.0
7110.21781640625,0.001,207,5870000,587,0.0,12713674,-5748.759297851562,749617.5095606599,28250,10000.0
7812.990952636719,0.001,207,5880000,588,0.0,12723674,-5660.67733203125,749637.5661077099,28398,10000.0
7296.4341723632815,0.001,206,5890000,589,0.0,12733674,-5601.964694335938,747364.6608560398,28547,10000.0
6537.27098828125,0.001,205,5900000,590,0.0,12743674,-5605.449958984375,748737.8630419698,28705,10000.0
5770.499244628906,0.001,204,5910000,591,0.0,12753674,-5634.1098203125,748588.66320851,28854,10000.0
5460.574086914063,0.001,204,5920000,592,0.0,12763674,-5765.348490234375,754689.2317480001,29009,10000.0
5477.032414794922,0.001,203,5930000,593,0.0,12773674,-5851.649887695313,754851.8670511299,29157,10000.0
5632.09764453125,0.001,202,5940000,594,0.0,12783674,-5923.944190429687,754840.77920904,29305,10000.0
5861.271026367188,0.001,202,5950000,595,0.0,12793674,-5934.676654296875,750564.0944396,29452,10000.0
5827.206159667969,0.001,201,5960000,596,0.0,12803674,-5972.9023984375,750986.3704160899,29600,10000.0
5602.9406962890625,0.001,200,5970000,597,0.0,12813674,-5992.9859921875,749495.9989116098,29749,10000.0
5828.056120117188,0.001,200,5980000,598,0.0,12823674,-6033.066081054688,750448.5271112398,29896,10000.0
6366.65897265625,0.001,199,5990000,599,0.0,12833674,-6050.016176757813,745765.27909035,30054,10000.0
6157.555834472656,0.001,198,6000000,600,0.0,12843674,-6116.59044921875,751497.2750796298,30203,10000.0
